start_date,end_date,memo,color
2011-09-01,2013-09-01,New Currency Launched,green
2013-10-01,2013-10-03,silkroad,pink
2013-10-06,2013-11-30,silkroad burn,green
2013-12-05,2014-02-01,china crisis,pink
2014-02-05,2015-08-25,Mt.Gox Hacking,pink
2015-09-15,2015-11-04,Bitcoin is Now Commodity,green
2016-05-20,2016-07-03,Brexit,green
2016-07-30,2016-08-04,Bitfinex Hacking,pink
2016-10-18,2017-03-10,Bitcoin ETF Submit,green
2017-09-11,2017-09-16,"JPMorgan ""Bitcoin is Scam""",pink
2017-10-24,2017-10-30,Upbit Exchange Open,green
2017-11-01,2018-01-05,Kimchi Premium,pink
2018-01-06,2018-12-16,Bubble Popped,pink
2019-03-30,2019-04-10,April's Fool,green
